date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:27	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:19%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/_derived/sitemap.htm_cmp_mocerf110_vbtn.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/_derived/sitemap.htm_cmp_mocerf110_vbtn.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:29	366/366	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20May%202025%2017:57:21%20GMT	https://web.archive.org/web/20031026090038/http://www.mocerf.org/_derived/sitemap.htm_cmp_mocerf110_vbtn.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031026090038/http_/www.mocerf.org/_derived/sitemap.htm_cmp_mocerf110_vbtn.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:30	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:22%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/_derived/sitemap.htm_cmp_mocerf110_vbtn_a.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/_derived/sitemap.htm_cmp_mocerf110_vbtn_a.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:31	1745/1745	---MCZ	404	error ('Object%20Not%20Found')	text/html	date:Fri,%2016%20May%202025%2017:57:23%20GMT	https://web.archive.org/web/20020608221331/http://mocerf.org/_derived/sitemap.htm_cmp_mocerf110_vbtn_a.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20020608221331/http_/mocerf.org/_derived/sitemap.htm_cmp_mocerf110_vbtn_a.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:33	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:26%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/sitemap.htm	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/sitemap.htm	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:34	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:27%20GMT	https://web.archive.org/web/20031010071003im_/http://www.mocerf.org/_derived/sitemap.htm_cmp_mocerf110_vbtn.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003im_/http_/www.mocerf.org/_derived/sitemap.htm_cmp_mocerf110_vbtn.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:36	366/366	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20May%202025%2017:57:27%20GMT	https://web.archive.org/web/20031026090038im_/http://www.mocerf.org/_derived/sitemap.htm_cmp_mocerf110_vbtn.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031026090038im_/http_/www.mocerf.org/_derived/sitemap.htm_cmp_mocerf110_vbtn.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:37	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:29%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/_derived/contact.htm_cmp_mocerf110_vbtn.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/_derived/contact.htm_cmp_mocerf110_vbtn.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:39	379/379	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20May%202025%2017:57:30%20GMT	https://web.archive.org/web/20031025134207/http://www.mocerf.org/_derived/contact.htm_cmp_mocerf110_vbtn.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031025134207/http_/www.mocerf.org/_derived/contact.htm_cmp_mocerf110_vbtn.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:39	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:32%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/_derived/contact.htm_cmp_mocerf110_vbtn_a.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/_derived/contact.htm_cmp_mocerf110_vbtn_a.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
